Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"N119941", 0.433, 1,    249.993,    0.0,         1, 2,    249.993, -120.0,         1, 3,    249.993,  120.0,         1, 0, 0, 0, 0
"N119942", 0.433, 1,    249.959,    0.0,   0.99986, 2,    249.959, -120.0,   0.99986, 3,    249.959,  120.0,   0.99986, 4,          0,    0.0,         0
"N119943", 0.433, 1,    249.919,    0.0,    0.9997, 2,    249.919, -120.0,    0.9997, 3,    249.919,  120.0,    0.9997, 4,          0,    0.0,         0
"N119949", 0.433, 1,    249.854,    0.0,   0.99945, 2,    249.854, -120.0,   0.99945, 3,    249.854,  120.0,   0.99945, 0, 0, 0, 0
"N119950", 0.433, 1,    249.832,    0.0,   0.99936, 2,    249.832, -120.0,   0.99936, 3,    249.832,  120.0,   0.99936, 0, 0, 0, 0
"N599943", 0.433, 1,    249.812,    0.0,   0.99928, 2,    249.812, -120.0,   0.99928, 3,    249.812,  120.0,   0.99928, 4,          0,    0.0,         0
"N119948", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N119951", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N599944", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N599945", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N119944", 0.433, 1,    249.886,    0.0,   0.99957, 2,    249.886, -120.0,   0.99957, 3,    249.886,  120.0,   0.99957, 0, 0, 0, 0
"N119945", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N119946", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N119947", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N599941", 0.433, 1,     249.87,    0.0,   0.99951, 2,     249.87, -120.0,   0.99951, 3,     249.87,  120.0,   0.99951, 0, 0, 0, 0
"N599942", 0.433, 1,    249.959,    0.0,   0.99986, 2,    249.959, -120.0,   0.99986, 3,    249.959,  120.0,   0.99986, 0, 0, 0, 0
